rater	vehicleID	vehicleStatus	driverSex	driverAge	traffic	cutoff	intersection	date	time	note	interID	interType	city	zip	county
al	A17	5	M	1	2	No	Reo Dr & Potomac St	10/12/13	13:13:00		i35	4-way	San Diego	92139	SD
al	A18	2	M	2	4	No	Reo Dr & Potomac St	10/12/13	13:17:00		i35	4-way	San Diego	92139	SD
al	A19	3	F	1	3	No	Reo Dr & Potomac St	10/12/13	13:20:00		i35	4-way	San Diego	92139	SD
al	A20	1	F	1	3	No	Reo Dr & Potomac St	10/12/13	13:26:00		i35	4-way	San Diego	92139	SD
al	AL01	4	M	3	3	No	Reo Dr & Potomac St	10/12/13	12:15:00		i35	4-way	San Diego	92139	SD
al	AL02	1	M	1	2	No	Reo Dr & Potomac St	10/12/13	12:21:00		i35	4-way	San Diego	92139	SD
al	AL03	5	M	3	3	Yes	Reo Dr & Potomac St	10/12/13	12:32:00	He did not stop	i35	4-way	San Diego	92139	SD
al	AL04	2	M	1	2	No	Reo Dr & Potomac St	10/12/13	12:28:00		i35	4-way	San Diego	92139	SD
al	AL05	3	M	3	3	No	Reo Dr & Potomac St	10/12/13	12:32:00		i35	4-way	San Diego	92139	SD
al	AL06	4	M	1	2	No	Reo Dr & Potomac St	10/12/13	12:35:00		i35	4-way	San Diego	92139	SD
al	AL07	2	F	1	3	No	Reo Dr & Potomac St	10/12/13	12:36:00		i35	4-way	San Diego	92139	SD
al	AL08	1	F	1	3	No	Reo Dr & Potomac St	10/12/13	12:40:00		i35	4-way	San Diego	92139	SD
al	AL09	5	F	1	3	No	Reo Dr & Potomac St	10/12/13	12:43:00		i35	4-way	San Diego	92139	SD
al	AL10	2	M	1	2	No	Reo Dr & Potomac St	10/12/13	12:44:00		i35	4-way	San Diego	92139	SD
al	AL11	1	M	1	2	No	Reo Dr & Potomac St	10/12/13	12:45:00		i35	4-way	San Diego	92139	SD
al	AL12	3	M	2	3	No	Reo Dr & Potomac St	10/12/13	12:51:00		i35	4-way	San Diego	92139	SD
al	AL13	4	F	1	3	No	Reo Dr & Potomac St	10/12/13	13:01:00		i35	4-way	San Diego	92139	SD
al	AL14	1	F	1	2	No	Reo Dr & Potomac St	10/12/13	13:03:00		i35	4-way	San Diego	92139	SD
al	AL15	1	M	3	2	No	Reo Dr & Potomac St	10/12/13	13:10:00		i35	4-way	San Diego	92139	SD
al	AL16	2	F	2	3	No	Reo Dr & Potomac St	10/12/13	13:11:00		i35	4-way	San Diego	92139	SD
aln	aln01	3	m	1	2	no	Voigt Dr & Hopkins Dr	10/10/13	15:03:00		i20	4-way	San Diego	92093	SD
aln	aln02	2	m	1	2	yes	Voight Dr & Hopkins Dr	10/10/13	15:07:00		i20	4-way	San Diego	92093	SD
aln	aln03	2	f	1	2	no	Voight Dr & Hopkins Dr	10/10/13	15:10:00		i20	4-way	San Diego	92093	SD
aln	aln04	3	m	2	3	no	Voight Dr & Hopkins Dr	10/10/13	15:13:00		i20	4-way	San Diego	92093	SD
aln	aln05	4	f	2	2	no	Voight Dr & Hopkins Dr	10/10/13	15:17:00		i20	4-way	San Diego	92093	SD
aln	aln06	1	f	1	3	yes	Voight Dr & Hopkins Dr	10/10/13	15:20:00		i20	4-way	San Diego	92093	SD
aln	aln07	5	m	3	2	no	Voight Dr & Hopkins Dr	10/10/13	15:22:00		i20	4-way	San Diego	92093	SD
aln	aln08	3	f	1	3	no	Voight Dr & Hopkins Dr	10/10/13	15:26:00		i20	4-way	San Diego	92093	SD
aln	aln09	2	m	2	2	no	Voight Dr & Hopkins Dr	10/10/13	15:29:00		i20	4-way	San Diego	92093	SD
aln	aln10	1	m	1	3	no	Voight Dr & Hopkins Dr	10/10/13	15:33:00		i20	4-way	San Diego	92093	SD
aln	aln11	3	m	1	2	no	Voight Dr & Gilman Dr	10/10/13	17:25:00		i19	4-way	San Diego	92093	SD
aln	aln12	2	m	2	2	no	Voight Dr & Gilman Dr	10/10/13	17:27:00		i19	4-way	San Diego	92093	SD
aln	aln13	2	f	2	3	yes	Voight Dr & Gilman Dr	10/10/13	17:30:00		i19	4-way	San Diego	92093	SD
aln	aln14	1	m	1	1	no	Voight Dr & Gilman Dr	10/10/13	17:34:00		i19	4-way	San Diego	92093	SD
aln	aln15	1	m	1	2	no	Voight Dr & Gilman Dr	10/10/13	17:36:00		i19	4-way	San Diego	92093	SD
